Conta;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1 - Receita Bruta;180238714;160423981;151318477,4;147123684,1;148003989,1;138585299,2;136924648,7;181423034,8;142293138,9;105276335,8;129227626,5;174069004
2.1 - Devoluções;-2978599,966;-1643235,18;-1862134,721;-2699783,631;-1777240,18;-2506921,127;-2982466,669;-2044816,265;-2968485,389;-2220595,962;-2084721,791;-1799952,564
2.2.1 - Descontos sobre Contratos;-1288435,156;-1741645,869;-1312683,698;-1606318,768;-1300598,417;-1870142,581;-2134692,634;-2135910,886;-1207033,26;-1778715,455;-1732079,616;-2119429,102
2.2.2 - Bonificações e Doações;-32676,8497;-20531,8554;-25275,22402;-31288,29486;-34888,02929;-34946,56712;-31125,9613;-26541,88801;-23774,45923;-28899,7762;-31554,40461;-29678,35825
2.3 - Fretes sobre entregas;-72174,7032;-93327,56541;-95678,27614;-83167,29494;-52082,77463;-55464,16104;-92272,40838;-68306,1325;-56015,31256;-88531,30944;-79072,39486;-58160,28878
2.4.1 - ICMS;-2449443,177;-2259545,456;-2682768,79;-2373151,652;-2094831,963;-2365212,415;-2313892,596;-1635567,181;-2044320,248;-1664647,44;-2562758,105;-1702408,774
2.4.2 - PIS;-130110,8136;-139936,3008;-139277,7905;-104630,9442;-133359,9709;-122397,4286;-130234,8881;-142385,4852;-140830,5389;-115046,619;-92236,05081;-103023,3645
2.4.3 - COFINS;-474623,1707;-746899,6205;-534633,9657;-469124,97;-716680,5035;-646236,6235;-534443,1348;-614434,3207;-807895,5618;-804677,8714;-722967,8338;-590292,7755
4.1.1 - Salários;-7538240,19;-6933401,144;-9964572,918;-5912514,877;-9397749,573;-6485521,422;-8163103,373;-8046612,046;-6259336,739;-6118445,298;-6071775,576;-7257572,04
4.1.2 - Encargos;-4117540,029;-3700500,536;-4120004,093;-3332304,553;-3291330,825;-4049836,041;-3612374,059;-2635117,4;-2417979,29;-3345962,147;-3179084,533;-2831581,543
4.1.3 - Benefícios;-2565754,25;-3482541,054;-3621036,48;-3918969,02;-3145666,678;-3192110,467;-3157985,535;-2440761,396;-2863443,712;-3950180,888;-2691034,975;-4092758,565
4.2 - Matéria-prima;-107430798,6;-104896859,6;-95298575,38;-107552178,3;-74816680,67;-115948277,1;-89230603,87;-78962030,46;-96299058,32;-65883505,73;-95250985,68;-96962563,21
4.3 - Insumos;-563820,9199;-490443,0763;-369624,5084;-561782,7492;-660072,4055;-638421,2072;-415744,6228;-595301,3786;-670481,3118;-370811,3706;-460964,849;-547068,2018
4.4 - Produtos Químicos;-3908583,271;-3208226,389;-2440735,911;-3641917,714;-3065395,843;-3282509,624;-2328936,405;-3761796,483;-3847363,358;-2568660,658;-2363491,831;-2267056,858
4.5 - Energia Elétrica;-1130557,505;-1035680,056;-902420,7527;-1483807,537;-1091017,288;-869563,9107;-1001436,29;-1464781,685;-1111509,188;-980025,8626;-952248,7647;-903040,5605
4.6 - Água;-411336,3642;-247007,9991;-364216,6794;-359419,9944;-373956,9315;-338440,4178;-395362,3826;-411777,6172;-312021,3532;-399926,7262;-249560,831;-410229,1193
4.7 - Outros Custos de Produção;-76589,08109;-130225,8986;-115432,1239;-79259,15034;-128392,3781;-81547,94861;-80903,43629;-101990,1483;-128421,4132;-109443,7839;-120665,9982;-81806,90842
6.1.1 - Salários;-2762486,499;-2030128,978;-2404431,831;-2117320,526;-2801157,648;-2378073,992;-2645631,5;-1827693,71;-2985516,556;-2058327,942;-1754851,774;-1836730,111
6.1.2 - Encargos;-943620,8949;-718811,6263;-923772,024;-859420,0695;-839199,5881;-920370,0995;-898207,024;-788944,5343;-613701,0922;-832549,3983;-580890,8623;-772203,3424
6.1.3 - Benefícios;-561584,4823;-779575,9157;-544074,5304;-588486,8047;-610326,5711;-666759,274;-631244,7761;-911582,351;-880780,9987;-772738,0561;-804599,2758;-530472,2117
6.2.1 - Serviços Terceirizados;-17559,18034;-22741,16255;-17528,88807;-16483,78103;-22978,67311;-18163,75189;-13110,36089;-14651,10898;-13381,77751;-23452,31737;-15747,62034;-16174,75503
6.2.2 - Peças;-69069,08202;-43848,09743;-71468,94115;-67112,97861;-48335,61659;-74939,18212;-47097,01757;-68987,39016;-58352,59696;-52717,7794;-59449,45802;-59185,09806
6.3.1 - Links de Internet;-1718,701194;-1706,169285;-1909,514966;-1308,257819;-2301,044086;-1729,763242;-2197,463887;-1958,426945;-1279,528654;-1924,789693;-1389,85824;-2188,65719
6.3.2 - Serviços Cloud;-4938,278363;-4947,305032;-4810,040407;-4094,508538;-3798,10617;-3607,033011;-4301,316533;-4502,120263;-3402,768555;-3958,511469;-4442,012304;-5160,80284
6.3.3 - Licenças de Software;-3170,776105;-3457,295358;-3126,10468;-3634,49574;-3603,188886;-2913,759264;-3183,173224;-2549,568161;-2206,190784;-3609,319225;-2709,960499;-2024,570171
6.3.4 - Consultorias em TI;-2562,117472;-2432,090008;-2540,6261;-1746,827636;-1984,89119;-1740,234727;-2410,532229;-1663,198367;-1502,865507;-2563,300381;-2228,414785;-1887,91856
6.4 - Aluguéis;-81790,2841;-91311,77959;-90931,78787;-111393,8435;-65780,72995;-69212,26429;-87226,39449;-72697,21455;-93760,20027;-106281,0831;-108243,544;-76362,17377
6.5 - Materiais de Segurança;-3944,652909;-6556,108897;-4790,948448;-4620,209169;-5448,847008;-4552,839816;-4596,315017;-4130,793677;-5251,852071;-6591,569019;-4552,543246;-4321,593389
6.6 - Materiais de Escritório;-16440,10452;-13945,42031;-12782,75727;-16126,12926;-12975,05949;-18107,54155;-17429,43656;-15707,816;-12968,07061;-15409,52163;-14726,95667;-12189,83933
6.7.1 - Hospedagem;-2335,903182;-2697,905501;-2095,814454;-1894,931317;-2103,497158;-2521,882077;-2329,09319;-3369,915827;-1889,378615;-3029,97616;-2658,075508;-3021,849888
6.7.2 - Pássagens aéreas;-1453,53745;-1764,516319;-1528,07343;-1064,355641;-1283,651678;-1840,832317;-1016,285018;-1696,396584;-1343,43943;-1416,54372;-1536,33237;-1558,939438
6.7.3 - Alimentação;-194,3243735;-196,8933202;-130,1317388;-169,991373;-170,9934321;-133,2111117;-126,666372;-147,7221524;-180,4821538;-205,795421;-118,6454576;-137,1981922
6.8 - Outras despesas;-5673,90103;-5535,970733;-6905,724436;-6242,174691;-7312,471935;-4558,370106;-6962,580285;-4832,269843;-7333,829961;-4629,703914;-7941,338062;-6906,062393
8.1 - Despesas Bancárias;-53487,41031;-38313,52225;-46133,54568;-51038,60282;-54562,53721;-45001,72892;-43161,01439;-54984,08909;-53166,03414;-52952,06174;-35299,93752;-49297,65934
