Conta;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1 - Receita Bruta;145158110,3;179201876,9;186278418;126401989,5;111991329,3;114789211,6;129919806,3;101897903;155350869,1;176462884,1;154414272,9;152925592,6
2.1 - Devoluções;-2307038,777;-2726953,412;-2144350,604;-2841406,009;-2884484,978;-2060626,397;-2824356,612;-2961967,968;-2980970,211;-2937388,814;-1702883,733;-2411882,239
2.2.1 - Descontos sobre Contratos;-1693620,649;-1393771,37;-1816718,838;-1393518,545;-1709951,064;-1548470,136;-1415465,356;-2146957,77;-2088698,731;-1858074,605;-1672591,902;-2035849,508
2.2.2 - Bonificações e Doações;-27781,29535;-27577,05272;-27917,19262;-35047,28028;-26180,16526;-23479,17083;-34110,54087;-23111,0972;-35067,52668;-29627,89367;-28949,7927;-31702,40263
2.3 - Fretes sobre entregas;-73615,68412;-53519,09597;-86867,08619;-71396,11176;-70647,06663;-83927,42285;-88031,38396;-80262,30363;-87138,06771;-72815,48614;-94686,66092;-79923,01869
2.4.1 - ICMS;-2172749,131;-1964674,506;-2119105,08;-2389960,265;-2447858,199;-2488304,233;-2570415,469;-2509948,879;-1706478,082;-1644436,598;-1583896,43;-1554035,93
2.4.2 - PIS;-116181,321;-92405,47993;-113644,3139;-145983,2177;-111200,4403;-140246,4084;-149080,0076;-116215,4799;-95905,12727;-100273,5625;-85807,51009;-116824,4126
2.4.3 - COFINS;-627335,1699;-580701,0774;-691122,4178;-685441,3887;-534572,9358;-538775,0951;-813584,9051;-660754,0625;-495145,5301;-513575,6299;-726719,2455;-618074,2432
4.1.1 - Salários;-8274169,24;-6084460,659;-9651102,919;-7673214,772;-10136620,94;-7636324,242;-10575709,23;-8810388,225;-6787062,367;-6169247,184;-10452727,84;-9481311,776
4.1.2 - Encargos;-3352804,525;-2746860,995;-4026322,506;-3439368,27;-2637813,148;-2887781,152;-2905501,825;-4253599,214;-2642552,554;-2874369,417;-2902678,373;-3049233,981
4.1.3 - Benefícios;-3211802,324;-2906140,502;-3479422,349;-2671173,135;-2706342,414;-3090357,763;-3794725,873;-3620882,024;-2509825,017;-3939252,217;-2943958,003;-2528019,174
4.2 - Matéria-prima;-90898605,7;-87214776,11;-92625369,68;-80738460,17;-88854843,96;-79309741,48;-103531811,9;-100223311,6;-93856147,81;-112418785,1;-73617429,01;-72480743,28
4.3 - Insumos;-526004,3417;-416156,7465;-450989,9473;-383405,299;-590052,1739;-572191,5996;-378035,6321;-505543,7539;-512005,3278;-496113,193;-374223,0064;-539322,6165
4.4 - Produtos Químicos;-3054690,792;-2272805,618;-3335880,986;-2763438,707;-2763886,648;-3462278,098;-2345875,668;-2594054,164;-3056683,232;-2888348,26;-3958797,226;-2460034,48
4.5 - Energia Elétrica;-1221633,608;-1013169,595;-1531321,175;-1194596,506;-1515769,13;-1099992,036;-1088098,607;-1412933,504;-1150506,038;-1271667,214;-943239,9667;-1052808,309
4.6 - Água;-319506,0532;-372585,4416;-320690,283;-330339,5494;-398821,1945;-376043,2648;-250167,23;-254005,5537;-310485,9246;-356232,1423;-229969,6916;-374757,5679
4.7 - Outros Custos de Produção;-105974,739;-88633,30361;-104333,7788;-110965,156;-129334,4284;-102569,5674;-133993,3093;-80424,76986;-96598,80751;-111584,7985;-124372,5516;-90988,69833
6.1.1 - Salários;-2406076,495;-2079848,808;-2932395,084;-2941305,417;-2928343,621;-2870865,546;-1927142,331;-3108624,738;-2225231,652;-2536517,298;-2012955,491;-2787685,34
6.1.2 - Encargos;-756893,6798;-542202,03;-581245,406;-706604,0277;-822302,5253;-733567,7922;-651074,5;-894683,48;-982751,0356;-933515,2785;-693583,7961;-750327,8276
